edge_id,account_id,entity_type,entity_id,first_seen_at,last_seen_at,interaction_count,event_type
EDGE_00000028,ACC_000007,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-14T08:24:16.817646+00:00,2026-05-17T08:24:16.817646+00:00,22,REFUND_REQUEST
EDGE_00000029,ACC_000008,DEVICE,DEV_PHONE_000008,2026-04-01T12:23:46.218863+00:00,2026-05-17T12:23:46.218863+00:00,23,CHECKOUT
EDGE_00000030,ACC_000008,IP,IP_MULE_000008,2026-04-01T12:23:46.218863+00:00,2026-05-18T12:23:46.218863+00:00,14,CHECKOUT
EDGE_00000031,ACC_000008,PAYMENT,CARD_LUXURY_000008,2026-04-01T12:23:46.218863+00:00,2026-05-26T12:23:46.218863+00:00,25,CHECKOUT
EDGE_00000032,ACC_000008,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-01T12:23:46.218863+00:00,2026-05-28T12:23:46.218863+00:00,14,REFUND_REQUEST
EDGE_00000033,ACC_000009,DEVICE,DEV_PHONE_000009,2026-04-02T09:49:14.372028+00:00,2026-05-14T09:49:14.372028+00:00,20,CHECKOUT
EDGE_00000034,ACC_000009,IP,IP_MULE_000009,2026-04-02T09:49:14.372028+00:00,2026-05-30T09:49:14.372028+00:00,12,CHECKOUT
EDGE_00000035,ACC_000009,PAYMENT,CARD_LUXURY_000009,2026-04-02T09:49:14.372028+00:00,2026-05-02T09:49:14.372028+00:00,13,CHECKOUT
EDGE_00000036,ACC_000009,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-02T09:49:14.372028+00:00,2026-05-02T09:49:14.372028+00:00,38,REFUND_REQUEST
EDGE_00000037,ACC_000010,DEVICE,DEV_PHONE_000010,2026-04-04T09:23:12.441885+00:00,2026-04-30T09:23:12.441885+00:00,31,CHECKOUT
EDGE_00000038,ACC_000010,IP,IP_MULE_000010,2026-04-04T09:23:12.441885+00:00,2026-05-24T09:23:12.441885+00:00,23,CHECKOUT
EDGE_00000039,ACC_000010,PAYMENT,CARD_LUXURY_000010,2026-04-04T09:23:12.441885+00:00,2026-05-22T09:23:12.441885+00:00,18,CHECKOUT
EDGE_00000040,ACC_000010,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-04T09:23:12.441885+00:00,2026-04-22T09:23:12.441885+00:00,12,REFUND_REQUEST
EDGE_00000041,ACC_000011,DEVICE,DEV_PHONE_000011,2026-03-29T18:56:46.508498+00:00,2026-05-07T18:56:46.508498+00:00,15,CHECKOUT
EDGE_00000042,ACC_000011,IP,IP_MULE_000011,2026-03-29T18:56:46.508498+00:00,2026-05-03T18:56:46.508498+00:00,35,CHECKOUT
EDGE_00000043,ACC_000011,PAYMENT,CARD_LUXURY_000011,2026-03-29T18:56:46.508498+00:00,2026-04-13T18:56:46.508498+00:00,32,CHECKOUT
EDGE_00000044,ACC_000011,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-03-29T18:56:46.508498+00:00,2026-05-05T18:56:46.508498+00:00,31,REFUND_REQUEST
EDGE_00000045,ACC_000012,DEVICE,DEV_PHONE_000012,2026-03-28T14:21:44.361220+00:00,2026-05-16T14:21:44.361220+00:00,22,CHECKOUT
EDGE_00000046,ACC_000012,IP,IP_MULE_000012,2026-03-28T14:21:44.361220+00:00,2026-05-17T14:21:44.361220+00:00,11,CHECKOUT
EDGE_00000047,ACC_000012,PAYMENT,CARD_LUXURY_000012,2026-03-28T14:21:44.361220+00:00,2026-04-20T14:21:44.361220+00:00,24,CHECKOUT
EDGE_00000048,ACC_000012,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-03-28T14:21:44.361220+00:00,2026-04-20T14:21:44.361220+00:00,19,REFUND_REQUEST
EDGE_00000049,ACC_000013,DEVICE,DEV_BOT_000013,2026-01-19T00:14:41.466858+00:00,2026-01-19T00:14:41.466858+00:00,1,CHECKOUT
EDGE_00000050,ACC_000013,IP,IP_SUBNET_000013,2026-01-19T00:14:41.466858+00:00,2026-01-19T00:14:41.466858+00:00,1,CHECKOUT
EDGE_00000051,ACC_000013,PAYMENT,CARD_FARMER_000013,2026-01-19T00:14:41.466858+00:00,2026-01-19T00:14:41.466858+00:00,1,CHECKOUT
EDGE_00000052,ACC_000013,ADDRESS,ADDR_FARM_000004,2026-01-19T00:14:41.466858+00:00,2026-01-19T00:14:41.466858+00:00,1,CHECKOUT
EDGE_00000053,ACC_000014,DEVICE,DEV_BOT_000013,2026-01-19T00:04:15.889453+00:00,2026-01-19T00:04:15.889453+00:00,1,CHECKOUT
EDGE_00000054,ACC_000014,IP,IP_SUBNET_000013,2026-01-19T00:04:15.889453+00:00,2026-01-19T00:04:15.889453+00:00,1,CHECKOUT
EDGE_00000055,ACC_000014,PAYMENT,CARD_FARMER_000013,2026-01-19T00:04:15.889453+00:00,2026-01-19T00:04:15.889453+00:00,1,CHECKOUT
EDGE_00000056,ACC_000014,ADDRESS,ADDR_FARM_000004,2026-01-19T00:04:15.889453+00:00,2026-01-19T00:04:15.889453+00:00,1,CHECKOUT
EDGE_00000057,ACC_000015,DEVICE,DEV_BOT_000013,2026-01-19T00:23:07.680178+00:00,2026-01-19T00:23:07.680178+00:00,1,CHECKOUT
EDGE_00000058,ACC_000015,IP,IP_SUBNET_000013,2026-01-19T00:23:07.680178+00:00,2026-01-19T00:23:07.680178+00:00,1,CHECKOUT
EDGE_00000059,ACC_000015,PAYMENT,CARD_FARMER_000013,2026-01-19T00:23:07.680178+00:00,2026-01-19T00:23:07.680178+00:00,1,CHECKOUT
EDGE_00000060,ACC_000015,ADDRESS,ADDR_FARM_000004,2026-01-19T00:23:07.680178+00:00,2026-01-19T00:23:07.680178+00:00,1,CHECKOUT
EDGE_00000061,ACC_000016,DEVICE,DEV_BOT_000013,2026-01-19T00:14:31.591710+00:00,2026-01-19T00:14:31.591710+00:00,1,CHECKOUT
EDGE_00000062,ACC_000016,IP,IP_SUBNET_000013,2026-01-19T00:14:31.591710+00:00,2026-01-19T00:14:31.591710+00:00,1,CHECKOUT
EDGE_00000063,ACC_000016,PAYMENT,CARD_FARMER_000013,2026-01-19T00:14:31.591710+00:00,2026-01-19T00:14:31.591710+00:00,1,CHECKOUT
EDGE_00000064,ACC_000016,ADDRESS,ADDR_FARM_000004,2026-01-19T00:14:31.591710+00:00,2026-01-19T00:14:31.591710+00:00,1,CHECKOUT
EDGE_00000065,ACC_000017,DEVICE,DEV_BOT_000013,2026-01-19T00:08:40.304707+00:00,2026-01-19T00:08:40.304707+00:00,1,CHECKOUT
EDGE_00000066,ACC_000017,IP,IP_SUBNET_000013,2026-01-19T00:08:40.304707+00:00,2026-01-19T00:08:40.304707+00:00,1,CHECKOUT
EDGE_00000067,ACC_000017,PAYMENT,CARD_FARMER_000013,2026-01-19T00:08:40.304707+00:00,2026-01-19T00:08:40.304707+00:00,1,CHECKOUT
EDGE_00000068,ACC_000017,ADDRESS,ADDR_FARM_000004,2026-01-19T00:08:40.304707+00:00,2026-01-19T00:08:40.304707+00:00,1,CHECKOUT
EDGE_00000069,ACC_000018,DEVICE,DEV_BOT_000013,2026-01-19T00:14:46.373237+00:00,2026-01-19T00:14:46.373237+00:00,1,CHECKOUT
EDGE_00000070,ACC_000018,IP,IP_SUBNET_000013,2026-01-19T00:14:46.373237+00:00,2026-01-19T00:14:46.373237+00:00,1,CHECKOUT
EDGE_00000071,ACC_000018,PAYMENT,CARD_FARMER_000013,2026-01-19T00:14:46.373237+00:00,2026-01-19T00:14:46.373237+00:00,1,CHECKOUT
EDGE_00000072,ACC_000018,ADDRESS,ADDR_FARM_000004,2026-01-19T00:14:46.373237+00:00,2026-01-19T00:14:46.373237+00:00,1,CHECKOUT
EDGE_00000073,ACC_000019,DEVICE,DEV_BOT_000013,2026-01-19T00:00:34.205807+00:00,2026-01-19T00:00:34.205807+00:00,1,CHECKOUT
EDGE_00000074,ACC_000019,IP,IP_SUBNET_000013,2026-01-19T00:00:34.205807+00:00,2026-01-19T00:00:34.205807+00:00,1,CHECKOUT
EDGE_00000075,ACC_000019,PAYMENT,CARD_FARMER_000013,2026-01-19T00:00:34.205807+00:00,2026-01-19T00:00:34.205807+00:00,1,CHECKOUT
EDGE_00000076,ACC_000019,ADDRESS,ADDR_FARM_000004,2026-01-19T00:00:34.205807+00:00,2026-01-19T00:00:34.205807+00:00,1,CHECKOUT
EDGE_00000077,ACC_000020,DEVICE,DEV_BOT_000013,2026-01-19T00:23:57.838820+00:00,2026-01-19T00:23:57.838820+00:00,1,CHECKOUT
EDGE_00000078,ACC_000020,IP,IP_SUBNET_000013,2026-01-19T00:23:57.838820+00:00,2026-01-19T00:23:57.838820+00:00,1,CHECKOUT
EDGE_00000079,ACC_000020,PAYMENT,CARD_FARMER_000013,2026-01-19T00:23:57.838820+00:00,2026-01-19T00:23:57.838820+00:00,1,CHECKOUT
EDGE_00000080,ACC_000020,ADDRESS,ADDR_FARM_000004,2026-01-19T00:23:57.838820+00:00,2026-01-19T00:23:57.838820+00:00,1,CHECKOUT
EDGE_00000081,ACC_000021,DEVICE,DEV_BOT_000013,2026-01-19T00:12:03.455155+00:00,2026-01-19T00:12:03.455155+00:00,1,CHECKOUT
EDGE_00000082,ACC_000021,IP,IP_SUBNET_000013,2026-01-19T00:12:03.455155+00:00,2026-01-19T00:12:03.455155+00:00,1,CHECKOUT
EDGE_00000083,ACC_000021,PAYMENT,CARD_FARMER_000013,2026-01-19T00:12:03.455155+00:00,2026-01-19T00:12:03.455155+00:00,1,CHECKOUT
EDGE_00000084,ACC_000021,ADDRESS,ADDR_FARM_000004,2026-01-19T00:12:03.455155+00:00,2026-01-19T00:12:03.455155+00:00,1,CHECKOUT
EDGE_00000085,ACC_000022,DEVICE,DEV_BOT_000013,2026-01-19T00:19:34.102841+00:00,2026-01-19T00:19:34.102841+00:00,1,CHECKOUT
EDGE_00000086,ACC_000022,IP,IP_SUBNET_000013,2026-01-19T00:19:34.102841+00:00,2026-01-19T00:19:34.102841+00:00,1,CHECKOUT
EDGE_00000087,ACC_000022,PAYMENT,CARD_FARMER_000013,2026-01-19T00:19:34.102841+00:00,2026-01-19T00:19:34.102841+00:00,1,CHECKOUT
EDGE_00000088,ACC_000022,ADDRESS,ADDR_FARM_000004,2026-01-19T00:19:34.102841+00:00,2026-01-19T00:19:34.102841+00:00,1,CHECKOUT
EDGE_00000089,ACC_000023,DEVICE,DEV_BOT_000013,2026-01-19T00:02:04.095000+00:00,2026-01-19T00:02:04.095000+00:00,1,CHECKOUT
EDGE_00000090,ACC_000023,IP,IP_SUBNET_000013,2026-01-19T00:02:04.095000+00:00,2026-01-19T00:02:04.095000+00:00,1,CHECKOUT
EDGE_00000091,ACC_000023,PAYMENT,CARD_FARMER_000013,2026-01-19T00:02:04.095000+00:00,2026-01-19T00:02:04.095000+00:00,1,CHECKOUT
EDGE_00000092,ACC_000023,ADDRESS,ADDR_FARM_000004,2026-01-19T00:02:04.095000+00:00,2026-01-19T00:02:04.095000+00:00,1,CHECKOUT
EDGE_00000093,ACC_000024,DEVICE,DEV_BOT_000013,2026-01-19T00:12:09.987496+00:00,2026-01-19T00:12:09.987496+00:00,1,CHECKOUT
EDGE_00000094,ACC_000024,IP,IP_SUBNET_000013,2026-01-19T00:12:09.987496+00:00,2026-01-19T00:12:09.987496+00:00,1,CHECKOUT
EDGE_00000095,ACC_000024,PAYMENT,CARD_FARMER_000013,2026-01-19T00:12:09.987496+00:00,2026-01-19T00:12:09.987496+00:00,1,CHECKOUT
EDGE_00000096,ACC_000024,ADDRESS,ADDR_FARM_000004,2026-01-19T00:12:09.987496+00:00,2026-01-19T00:12:09.987496+00:00,1,CHECKOUT
EDGE_00000097,ACC_000025,DEVICE,DEV_BOT_000013,2026-01-19T00:12:16.060492+00:00,2026-01-19T00:12:16.060492+00:00,1,CHECKOUT
EDGE_00000098,ACC_000025,IP,IP_SUBNET_000013,2026-01-19T00:12:16.060492+00:00,2026-01-19T00:12:16.060492+00:00,1,CHECKOUT
EDGE_00000099,ACC_000025,PAYMENT,CARD_FARMER_000013,2026-01-19T00:12:16.060492+00:00,2026-01-19T00:12:16.060492+00:00,1,CHECKOUT
EDGE_00000100,ACC_000025,ADDRESS,ADDR_FARM_000004,2026-01-19T00:12:16.060492+00:00,2026-01-19T00:12:16.060492+00:00,1,CHECKOUT
EDGE_00000101,ACC_000026,DEVICE,DEV_BOT_000013,2026-01-19T00:23:26.739682+00:00,2026-01-19T00:23:26.739682+00:00,1,CHECKOUT
EDGE_00000102,ACC_000026,IP,IP_SUBNET_000013,2026-01-19T00:23:26.739682+00:00,2026-01-19T00:23:26.739682+00:00,1,CHECKOUT
EDGE_00000103,ACC_000026,PAYMENT,CARD_FARMER_000013,2026-01-19T00:23:26.739682+00:00,2026-01-19T00:23:26.739682+00:00,1,CHECKOUT
EDGE_00000104,ACC_000026,ADDRESS,ADDR_FARM_000004,2026-01-19T00:23:26.739682+00:00,2026-01-19T00:23:26.739682+00:00,1,CHECKOUT
EDGE_00000105,ACC_000027,DEVICE,DEV_BOT_000013,2026-01-19T00:14:17.592079+00:00,2026-01-19T00:14:17.592079+00:00,1,CHECKOUT
EDGE_00000106,ACC_000027,IP,IP_SUBNET_000013,2026-01-19T00:14:17.592079+00:00,2026-01-19T00:14:17.592079+00:00,1,CHECKOUT
EDGE_00000107,ACC_000027,PAYMENT,CARD_FARMER_000013,2026-01-19T00:14:17.592079+00:00,2026-01-19T00:14:17.592079+00:00,1,CHECKOUT
EDGE_00000108,ACC_000027,ADDRESS,ADDR_FARM_000004,2026-01-19T00:14:17.592079+00:00,2026-01-19T00:14:17.592079+00:00,1,CHECKOUT
EDGE_00000109,ACC_000028,DEVICE,DEV_BOT_000013,2026-01-19T00:11:50.234102+00:00,2026-01-19T00:11:50.234102+00:00,1,CHECKOUT
EDGE_00000110,ACC_000028,IP,IP_SUBNET_000013,2026-01-19T00:11:50.234102+00:00,2026-01-19T00:11:50.234102+00:00,1,CHECKOUT
EDGE_00000111,ACC_000028,PAYMENT,CARD_FARMER_000013,2026-01-19T00:11:50.234102+00:00,2026-01-19T00:11:50.234102+00:00,1,CHECKOUT
EDGE_00000112,ACC_000028,ADDRESS,ADDR_FARM_000004,2026-01-19T00:11:50.234102+00:00,2026-01-19T00:11:50.234102+00:00,1,CHECKOUT
EDGE_00000113,ACC_000029,DEVICE,DEV_BOT_000013,2026-01-19T00:06:40.463495+00:00,2026-01-19T00:06:40.463495+00:00,1,CHECKOUT
EDGE_00000114,ACC_000029,IP,IP_SUBNET_000013,2026-01-19T00:06:40.463495+00:00,2026-01-19T00:06:40.463495+00:00,1,CHECKOUT
EDGE_00000115,ACC_000029,PAYMENT,CARD_FARMER_000013,2026-01-19T00:06:40.463495+00:00,2026-01-19T00:06:40.463495+00:00,1,CHECKOUT
EDGE_00000116,ACC_000029,ADDRESS,ADDR_FARM_000004,2026-01-19T00:06:40.463495+00:00,2026-01-19T00:06:40.463495+00:00,1,CHECKOUT
EDGE_00000117,ACC_000030,DEVICE,DEV_BOT_000013,2026-01-19T00:08:17.353496+00:00,2026-01-19T00:08:17.353496+00:00,1,CHECKOUT
EDGE_00000118,ACC_000030,IP,IP_SUBNET_000013,2026-01-19T00:08:17.353496+00:00,2026-01-19T00:08:17.353496+00:00,1,CHECKOUT
EDGE_00000119,ACC_000030,PAYMENT,CARD_FARMER_000013,2026-01-19T00:08:17.353496+00:00,2026-01-19T00:08:17.353496+00:00,1,CHECKOUT
EDGE_00000120,ACC_000030,ADDRESS,ADDR_FARM_000004,2026-01-19T00:08:17.353496+00:00,2026-01-19T00:08:17.353496+00:00,1,CHECKOUT
EDGE_00000121,ACC_000031,DEVICE,DEV_STUDENT_000014,2027-01-12T04:45:11.929570+00:00,2027-01-24T04:45:11.929570+00:00,5,CHECKOUT
EDGE_00000122,ACC_000031,IP,IP_CAMPUS_NAT_000014,2027-01-12T04:45:11.929570+00:00,2027-01-28T04:45:11.929570+00:00,17,CHECKOUT
EDGE_00000123,ACC_000031,PAYMENT,CARD_STUDENT_000014,2027-01-12T04:45:11.929570+00:00,2027-04-12T04:45:11.929570+00:00,5,CHECKOUT
EDGE_00000124,ACC_000031,ADDRESS,ADDR_DORM_000005,2027-01-12T04:45:11.929570+00:00,2027-03-30T04:45:11.929570+00:00,6,CHECKOUT
EDGE_00000125,ACC_000032,DEVICE,DEV_STUDENT_000015,2026-12-20T18:40:02.347464+00:00,2027-02-07T18:40:02.347464+00:00,5,CHECKOUT
EDGE_00000126,ACC_000032,IP,IP_CAMPUS_NAT_000014,2026-12-20T18:40:02.347464+00:00,2027-03-24T18:40:02.347464+00:00,3,CHECKOUT
EDGE_00000127,ACC_000032,PAYMENT,CARD_STUDENT_000015,2026-12-20T18:40:02.347464+00:00,2027-01-14T18:40:02.347464+00:00,6,CHECKOUT
EDGE_00000128,ACC_000032,ADDRESS,ADDR_DORM_000006,2026-12-20T18:40:02.347464+00:00,2027-01-24T18:40:02.347464+00:00,5,CHECKOUT
EDGE_00000129,ACC_000033,DEVICE,DEV_STUDENT_000016,2027-01-17T22:58:15.384054+00:00,2027-01-29T22:58:15.384054+00:00,15,CHECKOUT
EDGE_00000130,ACC_000033,IP,IP_CAMPUS_NAT_000014,2027-01-17T22:58:15.384054+00:00,2027-02-03T22:58:15.384054+00:00,15,CHECKOUT
EDGE_00000131,ACC_000033,PAYMENT,CARD_STUDENT_000016,2027-01-17T22:58:15.384054+00:00,2027-04-11T22:58:15.384054+00:00,5,CHECKOUT
EDGE_00000132,ACC_000033,ADDRESS,ADDR_DORM_000007,2027-01-17T22:58:15.384054+00:00,2027-03-07T22:58:15.384054+00:00,5,CHECKOUT
EDGE_00000133,ACC_000034,DEVICE,DEV_STUDENT_000017,2027-04-17T22:08:25.586506+00:00,2027-07-22T22:08:25.586506+00:00,18,CHECKOUT
EDGE_00000134,ACC_000034,IP,IP_CAMPUS_NAT_000014,2027-04-17T22:08:25.586506+00:00,2027-06-10T22:08:25.586506+00:00,3,CHECKOUT
EDGE_00000135,ACC_000034,PAYMENT,CARD_STUDENT_000017,2027-04-17T22:08:25.586506+00:00,2027-06-19T22:08:25.586506+00:00,12,CHECKOUT
EDGE_00000136,ACC_000034,ADDRESS,ADDR_DORM_000008,2027-04-17T22:08:25.586506+00:00,2027-05-10T22:08:25.586506+00:00,13,CHECKOUT
EDGE_00000137,ACC_000035,DEVICE,DEV_STUDENT_000018,2026-06-26T02:57:12.846263+00:00,2026-08-13T02:57:12.846263+00:00,10,CHECKOUT
EDGE_00000138,ACC_000035,IP,IP_CAMPUS_NAT_000014,2026-06-26T02:57:12.846263+00:00,2026-09-01T02:57:12.846263+00:00,16,CHECKOUT
EDGE_00000139,ACC_000035,PAYMENT,CARD_STUDENT_000018,2026-06-26T02:57:12.846263+00:00,2026-09-20T02:57:12.846263+00:00,3,CHECKOUT
EDGE_00000140,ACC_000035,ADDRESS,ADDR_DORM_000009,2026-06-26T02:57:12.846263+00:00,2026-09-03T02:57:12.846263+00:00,4,CHECKOUT
EDGE_00000141,ACC_000036,DEVICE,DEV_STUDENT_000019,2027-03-13T14:15:47.637313+00:00,2027-04-18T14:15:47.637313+00:00,10,CHECKOUT
EDGE_00000142,ACC_000036,IP,IP_CAMPUS_NAT_000014,2027-03-13T14:15:47.637313+00:00,2027-04-02T14:15:47.637313+00:00,9,CHECKOUT
EDGE_00000143,ACC_000036,PAYMENT,CARD_STUDENT_000019,2027-03-13T14:15:47.637313+00:00,2027-06-14T14:15:47.637313+00:00,10,CHECKOUT
EDGE_00000144,ACC_000036,ADDRESS,ADDR_DORM_000010,2027-03-13T14:15:47.637313+00:00,2027-04-02T14:15:47.637313+00:00,14,CHECKOUT
EDGE_00000145,ACC_000037,DEVICE,DEV_STUDENT_000020,2027-03-27T07:07:08.610024+00:00,2027-06-24T07:07:08.610024+00:00,4,CHECKOUT
EDGE_00000146,ACC_000037,IP,IP_CAMPUS_NAT_000014,2027-03-27T07:07:08.610024+00:00,2027-05-18T07:07:08.610024+00:00,13,CHECKOUT
EDGE_00000147,ACC_000037,PAYMENT,CARD_STUDENT_000020,2027-03-27T07:07:08.610024+00:00,2027-05-08T07:07:08.610024+00:00,5,CHECKOUT
EDGE_00000148,ACC_000037,ADDRESS,ADDR_DORM_000011,2027-03-27T07:07:08.610024+00:00,2027-04-23T07:07:08.610024+00:00,17,CHECKOUT
EDGE_00000149,ACC_000038,DEVICE,DEV_STUDENT_000021,2026-09-07T17:17:29.697734+00:00,2026-11-04T17:17:29.697734+00:00,3,CHECKOUT
EDGE_00000150,ACC_000038,IP,IP_CAMPUS_NAT_000014,2026-09-07T17:17:29.697734+00:00,2026-11-19T17:17:29.697734+00:00,3,CHECKOUT
EDGE_00000151,ACC_000038,PAYMENT,CARD_STUDENT_000021,2026-09-07T17:17:29.697734+00:00,2026-10-04T17:17:29.697734+00:00,5,CHECKOUT
EDGE_00000152,ACC_000038,ADDRESS,ADDR_DORM_000012,2026-09-07T17:17:29.697734+00:00,2026-11-30T17:17:29.697734+00:00,3,CHECKOUT
EDGE_00000153,ACC_000039,DEVICE,DEV_STUDENT_000022,2026-12-17T19:28:57.256316+00:00,2027-02-13T19:28:57.256316+00:00,3,CHECKOUT
EDGE_00000154,ACC_000039,IP,IP_CAMPUS_NAT_000014,2026-12-17T19:28:57.256316+00:00,2027-02-09T19:28:57.256316+00:00,6,CHECKOUT
EDGE_00000155,ACC_000039,PAYMENT,CARD_STUDENT_000022,2026-12-17T19:28:57.256316+00:00,2027-03-17T19:28:57.256316+00:00,7,CHECKOUT
EDGE_00000156,ACC_000039,ADDRESS,ADDR_DORM_000013,2026-12-17T19:28:57.256316+00:00,2027-01-16T19:28:57.256316+00:00,7,CHECKOUT
EDGE_00000157,ACC_000040,DEVICE,DEV_STUDENT_000023,2026-12-10T15:27:00.399807+00:00,2026-12-29T15:27:00.399807+00:00,3,CHECKOUT
EDGE_00000158,ACC_000040,IP,IP_CAMPUS_NAT_000014,2026-12-10T15:27:00.399807+00:00,2027-01-25T15:27:00.399807+00:00,18,CHECKOUT
EDGE_00000159,ACC_000040,PAYMENT,CARD_STUDENT_000023,2026-12-10T15:27:00.399807+00:00,2027-02-20T15:27:00.399807+00:00,4,CHECKOUT
EDGE_00000160,ACC_000040,ADDRESS,ADDR_DORM_000014,2026-12-10T15:27:00.399807+00:00,2027-03-05T15:27:00.399807+00:00,17,CHECKOUT
EDGE_00000161,ACC_000041,DEVICE,DEV_STUDENT_000024,2027-04-08T22:55:23.388725+00:00,2027-07-01T22:55:23.388725+00:00,12,CHECKOUT
EDGE_00000162,ACC_000041,IP,IP_CAMPUS_NAT_000014,2027-04-08T22:55:23.388725+00:00,2027-05-17T22:55:23.388725+00:00,11,CHECKOUT
EDGE_00000163,ACC_000041,PAYMENT,CARD_STUDENT_000024,2027-04-08T22:55:23.388725+00:00,2027-07-14T22:55:23.388725+00:00,17,CHECKOUT
EDGE_00000164,ACC_000041,ADDRESS,ADDR_DORM_000015,2027-04-08T22:55:23.388725+00:00,2027-07-02T22:55:23.388725+00:00,10,CHECKOUT
