cluster_id,cluster_type,member_count,device_count,ip_count,payment_count,address_count,density,cluster_abuse_label
RING_00033,CAMPUS_SHARED_IP,56,56,1,56,56,0.0714,0
RING_00034,PROMO_FARMING_RING,19,1,1,1,1,0.2105,1
RING_00035,STAR_TOPOLOGY_BENIGN,18,18,18,1,18,0.2222,0
RING_00036,APARTMENT_BUILDING_ADDR,19,19,19,19,1,0.2105,0
RING_00037,PROMO_FARMING_RING,18,1,1,1,1,0.2222,1
RING_00038,APARTMENT_BUILDING_ADDR,28,28,28,28,1,0.1429,0
RING_00039,SLOW_DRIP_COORDINATED_RING,10,2,10,3,1,0.4,1
RING_00040,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00041,CAMPUS_SHARED_IP,33,33,1,33,33,0.1212,0
RING_00042,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00043,SYNTHETIC_IDENTITY_RING,15,1,4,15,1,0.2667,1
RING_00044,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00045,CARD_TESTING_SYNDICATE,35,1,1,35,14,0.1143,1
RING_00046,CARD_TESTING_SYNDICATE,35,1,1,35,14,0.1143,1
RING_00047,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00048,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00049,SYNTHETIC_IDENTITY_RING,19,2,4,19,1,0.2105,1
RING_00050,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00051,APARTMENT_BUILDING_ADDR,24,24,24,24,1,0.1667,0
RING_00052,SYNTHETIC_IDENTITY_RING,22,1,4,22,1,0.1818,1
RING_00053,APARTMENT_BUILDING_ADDR,28,28,28,28,1,0.1429,0
RING_00054,SLOW_DRIP_COORDINATED_RING,12,2,12,3,1,0.3333,1
RING_00055,CARD_TESTING_SYNDICATE,30,1,1,30,13,0.1333,1
RING_00056,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00057,PROMO_FARMING_RING,14,1,1,1,1,0.2857,1
RING_00058,COWORKING_PUBLIC_WIFI,41,41,1,41,41,0.0976,0
RING_00059,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00060,APARTMENT_BUILDING_ADDR,17,17,17,17,1,0.2353,0
RING_00061,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00062,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00063,WARDROBING_MULE_CLUSTER,13,13,13,13,1,0.3077,1
RING_00064,PARTIAL_NETWORK_OVERLAP,6,6,6,1,6,0.6667,0
RING_00065,PROMO_FARMING_RING,15,1,1,1,1,0.2667,1
RING_00066,PROMO_FARMING_RING,10,1,1,1,1,0.4,1
RING_00067,CAMPUS_SHARED_IP,36,36,1,36,36,0.1111,0
RING_00068,APARTMENT_BUILDING_ADDR,26,26,26,26,1,0.1538,0
RING_00069,APARTMENT_BUILDING_ADDR,19,19,19,19,1,0.2105,0
RING_00070,PUBLIC_KIOSK_DEVICE,18,1,18,18,18,0.2222,0
RING_00071,PUBLIC_KIOSK_DEVICE,15,1,15,15,15,0.2667,0
RING_00072,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00073,STAR_TOPOLOGY_BENIGN,22,22,22,1,22,0.1818,0
RING_00074,SYNTHETIC_IDENTITY_RING,24,1,3,24,1,0.1667,1
RING_00075,CAMPUS_SHARED_IP,33,33,1,33,33,0.1212,0
RING_00076,WARDROBING_MULE_CLUSTER,8,8,8,8,1,0.5,1
RING_00077,CAMPUS_SHARED_IP,60,60,1,60,60,0.0667,0
RING_00078,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00079,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00080,CAMPUS_SHARED_IP,30,30,1,30,30,0.1333,0
RING_00081,PUBLIC_KIOSK_DEVICE,10,1,10,10,10,0.4,0
RING_00082,CARD_TESTING_SYNDICATE,35,1,1,35,14,0.1143,1
RING_00083,STAR_TOPOLOGY_BENIGN,22,22,22,1,22,0.1818,0
RING_00084,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00085,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00086,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00087,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00088,CARD_TESTING_SYNDICATE,23,1,1,23,10,0.1739,1
RING_00089,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00090,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00091,PROMO_FARMING_RING,14,1,1,1,1,0.2857,1
RING_00092,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00093,APARTMENT_BUILDING_ADDR,23,23,23,23,1,0.1739,0
RING_00094,APARTMENT_BUILDING_ADDR,23,23,23,23,1,0.1739,0
RING_00095,CARD_TESTING_SYNDICATE,33,1,1,33,14,0.1212,1
RING_00096,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00097,COWORKING_PUBLIC_WIFI,36,36,1,36,36,0.1111,0
RING_00098,SYNTHETIC_IDENTITY_RING,15,1,6,15,1,0.2667,1
RING_00099,CARD_TESTING_SYNDICATE,23,1,1,23,10,0.1739,1
RING_00100,WARDROBING_MULE_CLUSTER,12,12,12,12,1,0.3333,1
RING_00101,APARTMENT_BUILDING_ADDR,19,19,19,19,1,0.2105,0
RING_00102,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00103,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00104,COWORKING_PUBLIC_WIFI,44,44,1,44,44,0.0909,0
RING_00105,COWORKING_PUBLIC_WIFI,21,21,1,21,21,0.1905,0
RING_00106,SYNTHETIC_IDENTITY_RING,18,2,4,18,1,0.2222,1
RING_00107,CAMPUS_SHARED_IP,56,56,1,56,56,0.0714,0
RING_00108,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00109,APARTMENT_BUILDING_ADDR,27,27,27,27,1,0.1481,0
RING_00110,SYNTHETIC_IDENTITY_RING,13,2,5,13,1,0.3077,1
RING_00111,APARTMENT_BUILDING_ADDR,20,20,20,20,1,0.2,0
RING_00112,CARD_TESTING_SYNDICATE,34,1,1,34,14,0.1176,1
RING_00113,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00114,PARTIAL_NETWORK_OVERLAP,5,5,5,1,5,0.8,0
RING_00115,SLOW_DRIP_COORDINATED_RING,10,2,10,3,1,0.4,1
RING_00116,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00117,STAR_TOPOLOGY_BENIGN,20,20,20,1,20,0.2,0
RING_00118,PROMO_FARMING_RING,11,1,1,1,1,0.3636,1
RING_00119,SYNTHETIC_IDENTITY_RING,14,1,3,14,1,0.2857,1
RING_00120,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00121,CAMPUS_SHARED_IP,60,60,1,60,60,0.0667,0
RING_00122,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00123,CARD_TESTING_SYNDICATE,22,1,1,22,10,0.1818,1
RING_00124,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00125,COWORKING_PUBLIC_WIFI,42,42,1,42,42,0.0952,0
RING_00126,CARD_TESTING_SYNDICATE,26,1,1,26,11,0.1538,1
RING_00127,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00128,SYNTHETIC_IDENTITY_RING,13,2,6,13,1,0.3077,1
RING_00129,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00130,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00131,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00132,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00133,PUBLIC_KIOSK_DEVICE,18,1,18,18,18,0.2222,0
RING_00134,COWORKING_PUBLIC_WIFI,26,26,1,26,26,0.1538,0
RING_00135,CARD_TESTING_SYNDICATE,24,1,1,24,11,0.1667,1
RING_00136,CARD_TESTING_SYNDICATE,23,1,1,23,10,0.1739,1
RING_00137,CAMPUS_SHARED_IP,52,52,1,52,52,0.0769,0
RING_00138,SYNTHETIC_IDENTITY_RING,19,2,6,19,1,0.2105,1
RING_00139,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00140,PUBLIC_KIOSK_DEVICE,16,1,16,16,16,0.25,0
RING_00141,PARTIAL_NETWORK_OVERLAP,9,9,9,1,9,0.4444,0
RING_00142,COWORKING_PUBLIC_WIFI,32,32,1,32,32,0.125,0
RING_00143,COWORKING_PUBLIC_WIFI,32,32,1,32,32,0.125,0
RING_00144,SLOW_DRIP_COORDINATED_RING,16,2,16,3,1,0.25,1
RING_00145,CAMPUS_SHARED_IP,41,41,1,41,41,0.0976,0
RING_00146,APARTMENT_BUILDING_ADDR,21,21,21,21,1,0.1905,0
RING_00147,PROMO_FARMING_RING,12,1,1,1,1,0.3333,1
RING_00148,PROMO_FARMING_RING,12,1,1,1,1,0.3333,1
RING_00149,SYNTHETIC_IDENTITY_RING,25,1,3,25,1,0.16,1
RING_00150,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00151,SYNTHETIC_IDENTITY_RING,23,1,4,23,1,0.1739,1
RING_00152,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00153,CAMPUS_SHARED_IP,44,44,1,44,44,0.0909,0
RING_00154,PROMO_FARMING_RING,20,1,1,1,1,0.2,1
RING_00155,SYNTHETIC_IDENTITY_RING,21,2,6,21,1,0.1905,1
RING_00156,STAR_TOPOLOGY_BENIGN,17,17,17,1,17,0.2353,0
RING_00157,CARD_TESTING_SYNDICATE,29,1,1,29,12,0.1379,1
RING_00158,PARTIAL_NETWORK_OVERLAP,6,6,6,1,6,0.6667,0
RING_00159,PUBLIC_KIOSK_DEVICE,18,1,18,18,18,0.2222,0
RING_00160,APARTMENT_BUILDING_ADDR,15,15,15,15,1,0.2667,0
RING_00161,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00162,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00163,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00164,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00165,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00166,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00167,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00168,PARTIAL_NETWORK_OVERLAP,9,9,9,1,9,0.4444,0
RING_00169,CAMPUS_SHARED_IP,45,45,1,45,45,0.0889,0
RING_00170,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00171,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00172,CAMPUS_SHARED_IP,34,34,1,34,34,0.1176,0
RING_00173,APARTMENT_BUILDING_ADDR,20,20,20,20,1,0.2,0
RING_00174,COWORKING_PUBLIC_WIFI,41,41,1,41,41,0.0976,0
RING_00175,SYNTHETIC_IDENTITY_RING,21,1,3,21,1,0.1905,1
RING_00176,CAMPUS_SHARED_IP,40,40,1,40,40,0.1,0
RING_00177,APARTMENT_BUILDING_ADDR,24,24,24,24,1,0.1667,0
RING_00178,COWORKING_PUBLIC_WIFI,42,42,1,42,42,0.0952,0
RING_00179,CARD_TESTING_SYNDICATE,29,1,1,29,12,0.1379,1
RING_00180,PUBLIC_KIOSK_DEVICE,15,1,15,15,15,0.2667,0
RING_00181,APARTMENT_BUILDING_ADDR,21,21,21,21,1,0.1905,0
RING_00182,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00183,PARTIAL_NETWORK_OVERLAP,9,9,9,1,9,0.4444,0
RING_00184,COWORKING_PUBLIC_WIFI,26,26,1,26,26,0.1538,0
RING_00185,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00186,SYNTHETIC_IDENTITY_RING,16,1,4,16,1,0.25,1
RING_00187,PUBLIC_KIOSK_DEVICE,10,1,10,10,10,0.4,0
RING_00188,WARDROBING_MULE_CLUSTER,14,14,14,14,1,0.2857,1
RING_00189,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00190,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00191,CARD_TESTING_SYNDICATE,24,1,1,24,11,0.1667,1
RING_00192,PROMO_FARMING_RING,10,1,1,1,1,0.4,1
RING_00193,STAR_TOPOLOGY_BENIGN,24,24,24,1,24,0.1667,0
RING_00194,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00195,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00196,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00197,COWORKING_PUBLIC_WIFI,40,40,1,40,40,0.1,0
RING_00198,CAMPUS_SHARED_IP,62,62,1,62,62,0.0645,0
RING_00199,PUBLIC_KIOSK_DEVICE,15,1,15,15,15,0.2667,0
RING_00200,PUBLIC_KIOSK_DEVICE,19,1,19,19,19,0.2105,0
RING_00201,WARDROBING_MULE_CLUSTER,15,15,15,15,1,0.2667,1
RING_00202,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00203,WARDROBING_MULE_CLUSTER,11,11,11,11,1,0.3636,1
RING_00204,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00205,COWORKING_PUBLIC_WIFI,36,36,1,36,36,0.1111,0
RING_00206,CARD_TESTING_SYNDICATE,31,1,1,31,13,0.129,1
RING_00207,CAMPUS_SHARED_IP,46,46,1,46,46,0.087,0
RING_00208,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00209,CARD_TESTING_SYNDICATE,21,1,1,21,10,0.1905,1
RING_00210,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00211,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00212,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00213,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00214,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00215,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00216,PARTIAL_NETWORK_OVERLAP,6,6,6,1,6,0.6667,0
RING_00217,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00218,CAMPUS_SHARED_IP,34,34,1,34,34,0.1176,0
RING_00219,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00220,APARTMENT_BUILDING_ADDR,22,22,22,22,1,0.1818,0
RING_00221,COWORKING_PUBLIC_WIFI,39,39,1,39,39,0.1026,0
RING_00222,COWORKING_PUBLIC_WIFI,25,25,1,25,25,0.16,0
RING_00223,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00224,CAMPUS_SHARED_IP,44,44,1,44,44,0.0909,0
RING_00225,APARTMENT_BUILDING_ADDR,18,18,18,18,1,0.2222,0
RING_00226,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00227,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00228,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00229,COWORKING_PUBLIC_WIFI,23,23,1,23,23,0.1739,0
RING_00230,PUBLIC_KIOSK_DEVICE,15,1,15,15,15,0.2667,0
RING_00231,WARDROBING_MULE_CLUSTER,8,8,8,8,1,0.5,1
RING_00232,APARTMENT_BUILDING_ADDR,29,29,29,29,1,0.1379,0
RING_00233,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00234,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00235,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00236,STAR_TOPOLOGY_BENIGN,21,21,21,1,21,0.1905,0
RING_00237,WARDROBING_MULE_CLUSTER,11,11,11,11,1,0.3636,1
RING_00238,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00239,COWORKING_PUBLIC_WIFI,41,41,1,41,41,0.0976,0
RING_00240,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00241,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00242,PROMO_FARMING_RING,20,1,1,1,1,0.2,1
RING_00243,CAMPUS_SHARED_IP,50,50,1,50,50,0.08,0
RING_00244,PARTIAL_NETWORK_OVERLAP,5,5,5,1,5,0.8,0
RING_00245,STAR_TOPOLOGY_BENIGN,19,19,19,1,19,0.2105,0
RING_00246,SYNTHETIC_IDENTITY_RING,12,1,5,12,1,0.3333,1
RING_00247,WARDROBING_MULE_CLUSTER,13,13,13,13,1,0.3077,1
RING_00248,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00249,PROMO_FARMING_RING,16,1,1,1,1,0.25,1
RING_00250,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00251,SYNTHETIC_IDENTITY_RING,20,1,4,20,1,0.2,1
RING_00252,APARTMENT_BUILDING_ADDR,27,27,27,27,1,0.1481,0
RING_00253,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00254,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00255,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00256,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00257,CARD_TESTING_SYNDICATE,34,1,1,34,14,0.1176,1
RING_00258,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00259,CARD_TESTING_SYNDICATE,24,1,1,24,11,0.1667,1
RING_00260,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00261,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00262,APARTMENT_BUILDING_ADDR,21,21,21,21,1,0.1905,0
RING_00263,CAMPUS_SHARED_IP,49,49,1,49,49,0.0816,0
RING_00264,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00265,APARTMENT_BUILDING_ADDR,15,15,15,15,1,0.2667,0
RING_00266,CARD_TESTING_SYNDICATE,29,1,1,29,12,0.1379,1
RING_00267,PUBLIC_KIOSK_DEVICE,10,1,10,10,10,0.4,0
RING_00268,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00269,STAR_TOPOLOGY_BENIGN,16,16,16,1,16,0.25,0
RING_00270,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00271,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00272,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00273,SYNTHETIC_IDENTITY_RING,19,2,5,19,1,0.2105,1
RING_00274,PUBLIC_KIOSK_DEVICE,16,1,16,16,16,0.25,0
RING_00275,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00276,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00277,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00278,CAMPUS_SHARED_IP,64,64,1,64,64,0.0625,0
RING_00279,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00280,CAMPUS_SHARED_IP,53,53,1,53,53,0.0755,0
RING_00281,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00282,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00283,SYNTHETIC_IDENTITY_RING,17,2,3,17,1,0.2353,1
RING_00284,SYNTHETIC_IDENTITY_RING,24,1,4,24,1,0.1667,1
RING_00285,CAMPUS_SHARED_IP,49,49,1,49,49,0.0816,0
RING_00286,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00287,WARDROBING_MULE_CLUSTER,14,14,14,14,1,0.2857,1
RING_00288,CAMPUS_SHARED_IP,54,54,1,54,54,0.0741,0
RING_00289,PROMO_FARMING_RING,13,1,1,1,1,0.3077,1
RING_00290,APARTMENT_BUILDING_ADDR,29,29,29,29,1,0.1379,0
RING_00291,FAMILY_HOUSEHOLD,2,2,2,1,1,1.0,0
RING_00292,PROMO_FARMING_RING,11,1,1,1,1,0.3636,1
RING_00293,COWORKING_PUBLIC_WIFI,30,30,1,30,30,0.1333,0
RING_00294,PARTIAL_NETWORK_OVERLAP,8,8,8,1,8,0.5,0
RING_00295,SYNTHETIC_IDENTITY_RING,16,1,3,16,1,0.25,1
RING_00296,CAMPUS_SHARED_IP,62,62,1,62,62,0.0645,0
RING_00297,COWORKING_PUBLIC_WIFI,33,33,1,33,33,0.1212,0
RING_00298,PROMO_FARMING_RING,18,1,1,1,1,0.2222,1
RING_00299,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00300,APARTMENT_BUILDING_ADDR,25,25,25,25,1,0.16,0
RING_00301,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00302,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00303,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00304,FAMILY_HOUSEHOLD,3,3,3,1,1,1.0,0
RING_00305,COWORKING_PUBLIC_WIFI,36,36,1,36,36,0.1111,0
RING_00306,APARTMENT_BUILDING_ADDR,19,19,19,19,1,0.2105,0
RING_00307,SYNTHETIC_IDENTITY_RING,14,2,6,14,1,0.2857,1
RING_00308,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00309,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00310,STAR_TOPOLOGY_BENIGN,20,20,20,1,20,0.2,0
RING_00311,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00312,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00313,CAMPUS_SHARED_IP,36,36,1,36,36,0.1111,0
RING_00314,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00315,STAR_TOPOLOGY_BENIGN,17,17,17,1,17,0.2353,0
RING_00316,CAMPUS_SHARED_IP,51,51,1,51,51,0.0784,0
