merchant_id,scenario,baseline_tx_count,current_tx_count,baseline_fraud_count,current_fraud_count,baseline_fraud_rate,current_fraud_rate,baseline_device_count,current_device_count,baseline_suspicious_score,current_suspicious_score,fraud_spike_label,fraud_rate_delta,fraud_rate_ratio,volume_surge_ratio,device_concentration_ratio,suspicious_score_delta
MERCH_SPIKE_ATO_00027,targeted_ato_surge,985,89,29,33,0.0299,0.3731,788,28,0.0796,0.5512,1,0.3432,12.44,2.1685,3.1786,0.4716
MERCH_STD_00533,standard_stable,940,32,23,1,0.0247,0.0225,837,24,0.0345,0.0388,0,-0.0022,0.9113,0.817,1.3333,0.0043
MERCH_STD_00426,standard_stable,2080,102,41,2,0.0198,0.0208,1653,84,0.0531,0.067,0,0.001,1.0503,1.1769,1.2143,0.0139
MERCH_NOISE_00263,low_volume_noise,76,2,0,0,0.0,0.0,68,2,0.1181,0.0606,0,0.0,1.0,0.6316,1.0,-0.0575
MERCH_SPIKE_RUSH_00258,syndicate_bot_rush,1723,448,28,125,0.0163,0.2801,1412,147,0.0594,0.8915,1,0.2638,17.0854,6.2403,3.0476,0.8321
MERCH_SPIKE_RUSH_00382,syndicate_bot_rush,1392,278,37,66,0.027,0.2387,1141,82,0.0805,0.7672,1,0.2117,8.8118,4.7931,3.3902,0.6867
MERCH_STD_00659,standard_stable,2699,105,72,3,0.0268,0.0302,2330,91,0.0237,0.1192,0,0.0034,1.1264,0.9337,1.1538,0.0955
MERCH_STD_01476,standard_stable,3458,135,135,5,0.0393,0.0403,2635,94,0.0998,0.044,0,0.001,1.0254,0.937,1.4362,-0.0558
MERCH_SPIKE_RUSH_00272,syndicate_bot_rush,1890,260,60,97,0.0318,0.3729,1549,74,0.093,0.7205,1,0.3411,11.6928,3.3016,3.5135,0.6275
MERCH_HIBAS_00140,high_stable_fraud,1688,74,219,10,0.1303,0.1324,1234,56,0.311,0.4121,0,0.0021,1.0161,1.0521,1.3214,0.1011
MERCH_FLASH_00411,flash_sale_high_vol,2039,462,34,7,0.0169,0.0149,1573,385,0.0523,0.1004,0,-0.002,0.8824,5.438,1.2,0.0481
MERCH_FLASH_00440,flash_sale_high_vol,2050,444,38,4,0.019,0.0081,1544,371,0.027,0.0408,0,-0.0109,0.4293,5.198,1.1968,0.0138
MERCH_STD_00093,standard_stable,3048,135,86,4,0.0283,0.0271,2546,114,0.0654,0.0958,0,-0.0012,0.9577,1.063,1.1842,0.0304
MERCH_STD_00761,standard_stable,2932,105,92,3,0.0317,0.033,2099,78,0.0534,0.0402,0,0.0013,1.0409,0.8595,1.3462,-0.0132
MERCH_FLASH_00334,flash_sale_high_vol,2269,658,27,14,0.0121,0.021,1891,550,0.0373,0.0851,0,0.0089,1.7295,6.9599,1.1964,0.0478
MERCH_NOISE_00203,low_volume_noise,51,1,1,0,0.0196,0.0,45,1,0.1445,0.1862,0,-0.0196,0.0051,0.4706,1.0,0.0417
MERCH_SPIKE_RUSH_00332,syndicate_bot_rush,1068,213,30,106,0.0287,0.4988,875,57,0.0665,0.8315,1,0.4701,17.3229,4.7865,3.7368,0.765
MERCH_NOISE_00258,low_volume_noise,24,1,0,0,0.0,0.0,21,1,0.0829,0.0429,0,0.0,1.0,1.0,1.0,-0.04
MERCH_STD_01204,standard_stable,2169,95,49,2,0.023,0.0188,1654,79,0.0464,0.0279,0,-0.0042,0.8182,1.0512,1.2025,-0.0185
MERCH_SPIKE_RUSH_00352,syndicate_bot_rush,1553,442,23,198,0.0152,0.447,1273,140,0.0526,0.7378,1,0.4318,29.2222,6.8307,3.1571,0.6852
MERCH_SPIKE_ATO_00134,targeted_ato_surge,497,41,14,11,0.0292,0.2658,397,12,0.1129,0.7911,1,0.2366,9.0751,1.9799,3.4167,0.6782
MERCH_FLASH_00234,flash_sale_high_vol,2252,630,34,7,0.0151,0.0109,1739,572,0.0468,0.1015,0,-0.0042,0.7237,6.714,1.1014,0.0547
MERCH_STD_00718,standard_stable,1378,55,44,2,0.0324,0.0353,1105,46,0.038,0.0939,0,0.0029,1.0892,0.9579,1.1957,0.0559
MERCH_SPIKE_ATO_00244,targeted_ato_surge,1081,100,27,30,0.0254,0.296,864,35,0.0666,0.8175,1,0.2706,11.6118,2.2202,2.8571,0.7509
MERCH_SPIKE_ATO_00112,targeted_ato_surge,854,119,32,69,0.0383,0.5831,683,42,0.069,0.634,1,0.5448,15.1875,3.3443,2.8333,0.565
MERCH_HIBAS_00317,high_stable_fraud,676,24,100,4,0.1483,0.1539,529,15,0.2521,0.3901,0,0.0056,1.0377,0.8521,1.6,0.138
MERCH_SPIKE_RUSH_00447,syndicate_bot_rush,1212,237,23,103,0.0193,0.4353,993,89,0.0977,0.8189,1,0.416,22.4433,4.6931,2.6629,0.7212
MERCH_ORG_00106,organic_growth,1195,67,26,3,0.0224,0.0399,1015,56,0.0471,0.0291,0,0.0175,1.7778,1.3456,1.1964,-0.018
MERCH_STD_01027,standard_stable,808,37,16,1,0.0208,0.0232,720,28,0.0595,0.0229,0,0.0024,1.1148,1.099,1.3214,-0.0366
MERCH_STD_00350,standard_stable,1121,46,13,1,0.0119,0.0126,949,38,0.0887,0.0384,0,0.0007,1.0583,0.9848,1.2105,-0.0503
MERCH_STD_01079,standard_stable,3375,130,64,3,0.0192,0.0212,2986,111,0.069,0.1013,0,0.002,1.1036,0.9244,1.1712,0.0323
MERCH_FLASH_00404,flash_sale_high_vol,1027,215,23,5,0.0233,0.0245,810,201,0.0455,0.03,0,0.0012,1.0513,5.0243,1.0697,-0.0155
MERCH_SPIKE_ATO_00072,targeted_ato_surge,751,58,12,27,0.0164,0.4661,600,23,0.052,0.8625,1,0.4497,28.2545,1.8535,2.5217,0.8105
MERCH_FLASH_00533,flash_sale_high_vol,1823,458,52,7,0.0287,0.0148,1625,430,0.0487,0.0424,0,-0.0139,0.5174,6.0296,1.0651,-0.0063
MERCH_NOISE_00255,low_volume_noise,69,4,0,0,0.0,0.0,62,4,0.0822,0.1997,0,0.0,1.0,1.3913,1.0,0.1175
MERCH_HIBAS_00335,high_stable_fraud,1036,44,103,4,0.1,0.0968,740,33,0.3266,0.36,0,-0.0032,0.968,1.0193,1.3333,0.0334
MERCH_ORG_00005,organic_growth,878,50,21,1,0.0245,0.0204,746,42,0.0432,0.0585,0,-0.0041,0.8333,1.3667,1.1905,0.0153
MERCH_SPIKE_ATO_00171,targeted_ato_surge,481,48,17,28,0.0368,0.5777,384,14,0.0886,0.7828,1,0.5409,15.6585,2.395,3.4286,0.6942
MERCH_FLASH_00639,flash_sale_high_vol,1780,484,20,9,0.0114,0.0188,1480,390,0.0754,0.073,0,0.0074,1.6435,6.5258,1.241,-0.0024
MERCH_HIBAS_00346,high_stable_fraud,573,23,75,3,0.1324,0.1443,345,17,0.3701,0.379,0,0.0119,1.0898,0.9634,1.3529,0.0089
MERCH_STD_00893,standard_stable,3545,139,98,4,0.0277,0.0284,2707,97,0.0893,0.0629,0,0.0007,1.0252,0.941,1.433,-0.0264
MERCH_STD_00629,standard_stable,2258,88,42,2,0.0187,0.0218,1941,63,0.0797,0.0619,0,0.0031,1.1649,0.9353,1.3968,-0.0178
MERCH_FLASH_00558,flash_sale_high_vol,1513,391,35,5,0.0236,0.0131,1221,363,0.072,0.1031,0,-0.0105,0.557,6.2022,1.0771,0.0311
MERCH_HIBAS_00051,high_stable_fraud,1481,53,173,6,0.1174,0.1135,957,37,0.3904,0.3989,0,-0.0039,0.9668,0.8589,1.4324,0.0085
MERCH_NOISE_00233,low_volume_noise,42,2,1,0,0.0238,0.0,37,2,0.1496,0.0345,0,-0.0238,0.0042,1.1429,1.0,-0.1151
MERCH_HIBAS_00337,high_stable_fraud,1421,67,153,7,0.1079,0.1095,1126,45,0.3024,0.2994,0,0.0016,1.0148,1.1316,1.4889,-0.003
MERCH_STD_00945,standard_stable,1058,34,28,1,0.0267,0.0216,905,24,0.0679,0.0881,0,-0.0051,0.8097,0.7713,1.4167,0.0202
MERCH_SPIKE_RUSH_00472,syndicate_bot_rush,762,101,9,38,0.0129,0.381,624,41,0.0625,0.7381,1,0.3681,29.3154,3.1811,2.4634,0.6756
MERCH_HIBAS_00172,high_stable_fraud,1013,45,147,7,0.1457,0.1463,646,29,0.3539,0.3948,0,0.0006,1.0041,1.0661,1.5517,0.0409
MERCH_STD_01169,standard_stable,969,37,36,1,0.0376,0.031,804,30,0.0962,0.1106,0,-0.0066,0.8249,0.9164,1.2333,0.0144
MERCH_FLASH_00403,flash_sale_high_vol,1828,553,50,6,0.0278,0.0114,1581,512,0.0758,0.0831,0,-0.0164,0.4122,7.2604,1.0801,0.0073
MERCH_SPIKE_ATO_00067,targeted_ato_surge,343,50,10,13,0.0298,0.2533,274,21,0.0303,0.768,1,0.2235,8.4749,3.4985,2.381,0.7377
MERCH_STD_01502,standard_stable,2953,135,62,3,0.0211,0.0212,2185,117,0.0472,0.0303,0,0.0001,1.0047,1.0972,1.1538,-0.0169
MERCH_STD_01352,standard_stable,3201,132,92,4,0.0289,0.0314,2285,94,0.0573,0.1194,0,0.0025,1.0862,0.9897,1.4043,0.0621
MERCH_SPIKE_RUSH_00303,syndicate_bot_rush,1607,216,33,98,0.0209,0.4538,1317,69,0.0888,0.6766,1,0.4329,21.6143,3.2259,3.1304,0.5878
MERCH_SPIKE_ATO_00205,targeted_ato_surge,748,102,19,35,0.0261,0.3427,598,39,0.0744,0.805,1,0.3166,13.084,3.2727,2.6154,0.7306
MERCH_STD_01394,standard_stable,2325,85,69,3,0.0299,0.0305,1666,68,0.0545,0.0958,0,0.0006,1.02,0.8774,1.25,0.0413
MERCH_FLASH_00210,flash_sale_high_vol,1997,597,38,12,0.0194,0.0195,1654,523,0.0226,0.0751,0,0.0001,1.0051,7.1748,1.1415,0.0525
MERCH_STD_00552,standard_stable,2524,112,37,1,0.0148,0.0133,1885,78,0.0496,0.0518,0,-0.0015,0.8993,1.065,1.4359,0.0022
MERCH_NOISE_00213,low_volume_noise,68,2,0,1,0.0,0.5,61,2,0.0183,0.2353,0,0.5,5001.0,0.7059,1.0,0.217
MERCH_HIBAS_00318,high_stable_fraud,1417,56,183,7,0.1294,0.1321,1033,36,0.3671,0.3305,0,0.0027,1.0208,0.9485,1.5556,-0.0366
MERCH_FLASH_00322,flash_sale_high_vol,1649,534,22,6,0.0139,0.0115,1239,502,0.0457,0.0659,0,-0.0024,0.8286,7.772,1.0637,0.0202
MERCH_HIBAS_00209,high_stable_fraud,1707,71,213,9,0.125,0.1273,1329,49,0.3895,0.3169,0,0.0023,1.0184,0.9982,1.449,-0.0726
MERCH_STD_00602,standard_stable,2891,119,95,3,0.0332,0.0291,2444,94,0.0225,0.116,0,-0.0041,0.8769,0.9879,1.266,0.0935
MERCH_SPIKE_ATO_00068,targeted_ato_surge,696,87,27,28,0.0392,0.3187,556,43,0.0531,0.7901,1,0.2795,8.112,3.0,2.0233,0.737
MERCH_STD_01553,standard_stable,1258,46,43,1,0.0346,0.028,989,33,0.0855,0.0461,0,-0.0066,0.8098,0.8776,1.3939,-0.0394
MERCH_FLASH_00294,flash_sale_high_vol,898,234,22,5,0.0247,0.0215,695,188,0.0619,0.1195,0,-0.0032,0.871,6.2539,1.2447,0.0576
