account_id,order_count,return_count,refund_count,total_spend,average_order_value,account_age_days,device_count,ip_count,payment_instrument_count,return_rate,refund_rate,high_value_order_count,suspicious_activity_score,device_type,primary_payment_method,abuse_label
ACC_LEGIT_NEW_00425,3,0,0,263.04,87.68,16,1,1,1,0.0,0.0,0,0.0246,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02691,15,1,1,1030.75,70.68,551,1,1,1,0.0667,0.0667,2,0.0404,mobile_ios,credit_card,0
ACC_LEGIT_STD_01802,6,0,0,454.3,72.85,318,1,1,1,0.0,0.0,0,0.0564,mobile_android,apple_pay,0
ACC_LEGIT_STD_02121,12,1,0,495.58,40.88,393,1,2,3,0.0833,0.0,1,0.0016,mobile_android,apple_pay,0
ACC_LEGIT_ACT_00714,52,17,14,3071.48,61.94,725,3,2,2,0.3269,0.2692,7,0.2556,mobile_ios,credit_card,0
ACC_LEGIT_STD_02026,3,0,0,82.23,29.45,349,1,1,2,0.0,0.0,0,0.0258,mobile_android,debit_card,0
ACC_LEGIT_STD_01624,26,1,1,1877.58,75.97,855,1,1,2,0.0385,0.0385,1,0.0742,desktop_chrome,paypal,0
ACC_LEGIT_NEW_00098,2,0,0,105.96,52.98,20,1,1,1,0.0,0.0,0,0.073,mobile_android,debit_card,0
ACC_LEGIT_STD_00365,2,0,0,27.83,15.0,181,1,1,1,0.0,0.0,0,0.0616,mobile_ios,credit_card,0
ACC_RING_045_0113,7,6,5,856.38,122.34,3,5,6,4,0.8571,0.7143,3,0.8798,mobile_android,crypto_gift_card,1
ACC_RING_017_0152,15,14,13,1070.7,71.38,16,3,3,8,0.9333,0.8667,8,0.8842,desktop_chrome,virtual_card,1
ACC_LEGIT_ACT_00839,50,17,16,7184.63,142.58,61,3,3,1,0.34,0.32,7,0.1164,desktop_chrome,debit_card,0
ACC_LEGIT_STD_02778,15,0,0,765.35,49.64,609,1,1,2,0.0,0.0,0,0.0061,mobile_ios,credit_card,0
ACC_LEGIT_STD_01895,8,0,0,870.35,113.6,327,1,1,1,0.0,0.0,1,0.0299,mobile_ios,credit_card,0
ACC_LEGIT_ACT_00231,13,6,5,941.16,69.17,375,3,1,2,0.4615,0.3846,2,0.3464,mobile_ios,credit_card,0
ACC_LEGIT_STD_01503,7,1,1,319.01,45.17,323,1,1,1,0.1429,0.1429,1,0.0794,mobile_ios,credit_card,0
ACC_LEGIT_STD_02968,4,0,0,202.97,53.13,236,2,1,1,0.0,0.0,0,0.0115,mobile_android,credit_card,0
ACC_LEGIT_STD_02014,8,0,0,369.62,48.76,534,1,1,3,0.0,0.0,0,0.0037,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02168,5,1,1,376.62,81.77,198,1,1,3,0.2,0.2,1,0.0067,mobile_ios,apple_pay,0
ACC_LEGIT_ACT_00609,41,8,6,4662.3,110.56,863,2,3,2,0.1951,0.1463,9,0.1779,desktop_chrome,credit_card,0
ACC_LEGIT_STD_01514,9,0,0,1088.07,117.67,491,1,1,2,0.0,0.0,1,0.0083,mobile_ios,credit_card,0
ACC_LEGIT_STD_01032,19,1,0,1279.88,67.4,1106,1,2,1,0.0526,0.0,1,0.1256,mobile_ios,credit_card,0
ACC_LEGIT_STD_00384,7,1,1,396.01,56.51,280,1,1,1,0.1429,0.1429,0,0.1141,mobile_ios,debit_card,0
ACC_LEGIT_NEW_00413,2,0,0,90.78,45.39,8,1,2,1,0.0,0.0,0,0.0852,mobile_android,debit_card,0
ACC_RING_030_0165,7,5,4,1093.26,156.18,26,5,4,8,0.7143,0.5714,4,0.9707,emulator_bot,crypto_gift_card,1
ACC_LEGIT_STD_01656,5,0,0,283.24,56.16,155,1,1,1,0.0,0.0,0,0.0191,mobile_android,credit_card,0
ACC_LEGIT_ACT_00622,35,7,6,3798.2,110.48,358,4,2,1,0.2,0.1714,11,0.1221,mobile_ios,credit_card,0
ACC_LEGIT_STD_01729,11,1,0,478.84,44.23,387,1,3,1,0.0909,0.0,0,0.041,mobile_ios,debit_card,0
ACC_LEGIT_STD_00574,9,1,1,253.48,29.55,249,2,3,2,0.1111,0.1111,1,0.1602,mobile_ios,debit_card,0
ACC_LEGIT_STD_02210,12,0,0,306.04,27.53,360,1,1,1,0.0,0.0,0,0.0678,mobile_android,credit_card,0
ACC_LEGIT_STD_02970,7,0,0,240.86,35.85,433,2,1,2,0.0,0.0,0,0.1065,mobile_android,credit_card,0
ACC_WARD_00174,15,13,12,2535.0,172.62,32,3,2,1,0.8667,0.8,10,0.5277,mobile_android,credit_card,1
ACC_LEGIT_STD_01720,21,2,2,1295.81,61.64,1039,1,2,1,0.0952,0.0952,0,0.0368,mobile_ios,credit_card,0
ACC_LEGIT_STD_01997,3,2,2,232.45,75.79,346,1,1,3,0.6667,0.6667,1,0.0005,mobile_android,debit_card,0
ACC_LEGIT_ACT_00017,39,15,12,2523.64,66.59,671,2,1,2,0.3846,0.3077,11,0.032,desktop_chrome,paypal,0
ACC_LEGIT_STD_02553,7,0,0,289.69,43.79,279,1,1,2,0.0,0.0,0,0.0656,mobile_android,credit_card,0
ACC_LEGIT_STD_02635,15,1,0,799.2,55.2,650,1,1,1,0.0667,0.0,1,0.0801,mobile_ios,debit_card,0
ACC_LEGIT_STD_02462,12,0,0,890.45,75.46,549,1,1,1,0.0,0.0,2,0.0417,mobile_android,credit_card,0
ACC_LEGIT_STD_00460,1,0,0,21.78,20.82,240,1,2,2,0.0,0.0,0,0.062,mobile_android,apple_pay,0
ACC_LEGIT_ACT_00419,17,3,2,1280.47,78.93,125,2,3,3,0.1765,0.1176,3,0.1354,desktop_chrome,credit_card,0
ACC_LEGIT_STD_01210,20,1,1,1012.56,51.23,857,1,1,1,0.05,0.05,0,0.0098,mobile_android,credit_card,0
ACC_LEGIT_STD_02313,19,0,0,1366.7,74.36,624,2,1,2,0.0,0.0,0,0.0757,mobile_android,credit_card,0
ACC_SLOW_00031,18,9,7,694.08,38.56,197,1,1,2,0.5,0.3889,3,0.4978,desktop_chrome,virtual_card,1
ACC_LEGIT_STD_01443,7,0,0,551.83,83.45,350,1,1,1,0.0,0.0,1,0.0093,mobile_android,credit_card,0
ACC_LEGIT_STD_00224,6,1,0,312.94,52.57,419,1,1,1,0.1667,0.0,1,0.0121,mobile_ios,apple_pay,0
ACC_LEGIT_STD_01959,6,1,1,155.88,25.49,233,1,1,1,0.1667,0.1667,1,0.0013,mobile_android,debit_card,0
ACC_LEGIT_STD_00696,5,1,0,306.95,65.44,220,1,1,1,0.2,0.0,1,0.1037,mobile_android,debit_card,0
ACC_LEGIT_STD_00183,8,0,0,446.52,54.78,325,1,1,1,0.0,0.0,1,0.2037,mobile_ios,credit_card,0
ACC_LEGIT_STD_02865,4,0,0,293.46,73.21,221,2,1,1,0.0,0.0,0,0.0285,desktop_safari,paypal,0
ACC_LEGIT_STD_00684,1,0,0,93.84,97.55,180,1,1,1,0.0,0.0,0,0.1317,mobile_ios,credit_card,0
ACC_SLOW_00041,6,2,1,561.0,93.5,77,3,2,1,0.3333,0.1667,1,0.356,mobile_ios,credit_card,1
ACC_RING_021_0223,17,15,14,2397.17,141.01,19,5,3,4,0.8824,0.8235,8,0.8126,emulator_bot,crypto_gift_card,1
ACC_LEGIT_ACT_00247,14,4,3,343.66,25.0,537,1,1,1,0.2857,0.2143,2,0.1732,mobile_ios,credit_card,0
ACC_LEGIT_STD_01748,8,0,0,435.45,58.44,427,2,2,1,0.0,0.0,0,0.0775,mobile_ios,credit_card,0
ACC_LEGIT_NEW_00267,1,0,0,87.43,87.43,42,1,1,1,0.0,0.0,0,0.108,desktop_chrome,credit_card,0
ACC_LEGIT_STD_00056,5,1,1,414.99,84.28,425,1,1,1,0.2,0.2,0,0.0094,desktop_chrome,credit_card,0
ACC_LEGIT_STD_00589,29,0,0,1823.69,65.2,939,1,1,2,0.0,0.0,1,0.0508,mobile_android,debit_card,0
ACC_LEGIT_STD_02632,4,0,0,170.24,43.45,167,2,1,1,0.0,0.0,0,0.0102,mobile_android,credit_card,0
ACC_LEGIT_STD_00616,16,0,0,556.77,35.04,860,1,1,1,0.0,0.0,2,0.014,mobile_android,debit_card,0
ACC_LEGIT_STD_02444,19,0,0,2022.21,106.94,557,2,1,2,0.0,0.0,2,0.0861,mobile_ios,debit_card,0
ACC_LEGIT_STD_02123,6,0,0,364.02,56.68,202,1,1,1,0.0,0.0,0,0.2281,mobile_ios,apple_pay,0
ACC_LEGIT_ACT_00631,30,13,12,1889.64,61.15,367,2,2,3,0.4333,0.4,6,0.1383,mobile_ios,apple_pay,0
ACC_RING_021_0156,13,10,9,997.23,76.71,24,3,4,5,0.7692,0.6923,9,0.849,mobile_android,virtual_card,1
ACC_LEGIT_STD_00431,9,1,1,410.8,47.35,473,1,1,1,0.1111,0.1111,0,0.2724,mobile_ios,apple_pay,0
ACC_LEGIT_NEW_00281,2,0,0,102.88,51.44,37,1,2,1,0.0,0.0,0,0.2878,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02455,12,3,2,558.18,43.29,835,2,1,1,0.25,0.1667,1,0.0511,desktop_chrome,credit_card,0
ACC_LEGIT_STD_02270,2,1,1,92.88,48.4,229,1,2,1,0.5,0.5,0,0.0722,mobile_android,apple_pay,0
ACC_LEGIT_STD_02664,5,1,1,166.25,31.69,251,3,1,1,0.2,0.2,0,0.0336,mobile_ios,debit_card,0
ACC_LEGIT_STD_02441,11,0,0,353.02,30.88,668,1,1,2,0.0,0.0,1,0.0444,mobile_android,paypal,0
ACC_LEGIT_STD_00543,28,2,2,1164.18,43.94,895,1,3,1,0.0714,0.0714,2,0.0108,mobile_ios,credit_card,0
ACC_LEGIT_STD_01474,8,0,0,452.1,60.82,280,1,1,1,0.0,0.0,0,0.0222,mobile_ios,credit_card,0
ACC_RING_048_0250,21,14,11,2554.23,121.63,26,3,4,4,0.6667,0.5238,10,0.8787,mobile_android,credit_card,1
ACC_WARD_00162,43,37,31,8749.72,199.4,321,1,2,2,0.8605,0.7209,29,0.5459,desktop_chrome,credit_card,1
ACC_RING_019_0288,16,14,11,2414.08,150.88,35,4,3,3,0.875,0.6875,10,0.7531,emulator_bot,virtual_card,1
ACC_LEGIT_STD_02451,11,0,0,867.32,80.25,382,1,1,1,0.0,0.0,0,0.0032,desktop_chrome,debit_card,0
ACC_LEGIT_STD_00773,4,0,0,210.87,57.16,205,1,2,1,0.0,0.0,0,0.0362,desktop_chrome,debit_card,0
ACC_WARD_00047,54,48,42,9253.63,172.26,177,2,2,2,0.8889,0.7778,38,0.7349,desktop_chrome,virtual_card,1
ACC_LEGIT_STD_02274,6,1,1,298.76,53.0,332,1,1,2,0.1667,0.1667,0,0.094,mobile_android,debit_card,0
ACC_LEGIT_STD_00073,3,0,0,222.21,76.14,173,1,3,1,0.0,0.0,0,0.0611,mobile_android,debit_card,0
ACC_WARD_00261,55,40,37,7443.92,134.94,339,3,1,1,0.7273,0.6727,23,0.7749,desktop_chrome,credit_card,1
ACC_LEGIT_ACT_00752,42,18,16,2221.11,50.38,836,1,2,3,0.4286,0.381,10,0.296,mobile_android,credit_card,0
ACC_LEGIT_STD_01294,9,4,4,540.75,63.29,463,1,1,1,0.4444,0.4444,0,0.227,mobile_android,credit_card,0
ACC_LEGIT_STD_02598,2,0,0,200.46,98.05,218,1,1,1,0.0,0.0,0,0.0279,mobile_android,credit_card,0
ACC_LEGIT_STD_01957,5,0,0,267.98,57.94,342,3,1,1,0.0,0.0,0,0.0731,mobile_android,credit_card,0
ACC_LEGIT_STD_02867,14,0,0,770.84,55.33,584,1,1,1,0.0,0.0,0,0.1378,mobile_android,credit_card,0
ACC_LEGIT_STD_00184,3,0,0,295.27,94.88,250,1,2,1,0.0,0.0,0,0.0457,desktop_chrome,credit_card,0
ACC_LEGIT_STD_00127,9,0,0,602.07,69.42,687,1,1,1,0.0,0.0,0,0.1546,mobile_ios,credit_card,0
ACC_LEGIT_STD_02158,6,0,0,187.8,29.93,218,1,1,1,0.0,0.0,0,0.048,mobile_android,apple_pay,0
ACC_LEGIT_STD_00651,3,0,0,118.72,40.63,170,2,2,1,0.0,0.0,1,0.1188,desktop_chrome,credit_card,0
ACC_LEGIT_STD_00091,2,0,0,111.03,58.41,139,1,2,1,0.0,0.0,0,0.2037,mobile_ios,credit_card,0
ACC_LEGIT_STD_00266,8,0,0,652.6,77.39,340,1,1,1,0.0,0.0,1,0.0919,mobile_android,credit_card,0
ACC_LEGIT_STD_00286,17,0,0,1622.52,98.79,780,1,1,1,0.0,0.0,1,0.0654,mobile_android,debit_card,0
ACC_LEGIT_STD_01468,20,3,2,950.78,50.14,675,1,1,3,0.15,0.1,1,0.0233,mobile_ios,credit_card,0
ACC_LEGIT_STD_02847,2,0,0,114.28,61.42,201,1,1,1,0.0,0.0,0,0.0135,mobile_android,debit_card,0
ACC_LEGIT_STD_01168,5,0,0,368.11,73.01,292,1,2,1,0.0,0.0,0,0.1573,mobile_ios,credit_card,0
ACC_WARD_00080,24,20,18,4948.63,197.66,98,2,2,2,0.8333,0.75,14,0.5368,mobile_ios,credit_card,1
ACC_WARD_00036,21,12,10,3579.84,173.0,155,1,3,4,0.5714,0.4762,14,0.785,desktop_chrome,paypal,1
ACC_LEGIT_STD_02792,12,0,0,576.99,52.17,634,1,1,1,0.0,0.0,1,0.0454,mobile_android,paypal,0
ACC_LEGIT_ACT_00109,30,9,7,1348.96,46.4,301,1,1,1,0.3,0.2333,4,0.3285,mobile_android,credit_card,0
ACC_LEGIT_STD_01693,4,0,0,249.43,59.25,150,2,2,1,0.0,0.0,0,0.2913,desktop_chrome,credit_card,0
ACC_LEGIT_STD_02513,6,0,0,289.87,52.02,418,2,1,2,0.0,0.0,0,0.0856,mobile_ios,debit_card,0
ACC_LEGIT_NEW_00315,2,0,0,99.4,49.7,43,1,1,1,0.0,0.0,0,0.0416,desktop_chrome,apple_pay,0
ACC_LEGIT_STD_02104,6,0,0,472.1,84.57,452,1,1,1,0.0,0.0,0,0.0053,mobile_android,credit_card,0
ACC_LEGIT_STD_01604,21,1,0,1142.12,56.14,717,1,1,1,0.0476,0.0,2,0.0007,mobile_ios,paypal,0
ACC_LEGIT_STD_02520,6,1,1,249.75,39.14,450,1,1,2,0.1667,0.1667,0,0.0522,mobile_ios,debit_card,0
ACC_LEGIT_ACT_00298,49,18,17,6120.15,126.65,85,1,2,2,0.3673,0.3469,9,0.4375,mobile_ios,credit_card,0
ACC_LEGIT_STD_01013,3,0,0,130.05,42.68,267,1,3,1,0.0,0.0,0,0.0798,mobile_ios,debit_card,0
ACC_LEGIT_STD_01998,2,0,0,141.02,73.28,390,1,1,1,0.0,0.0,0,0.0205,desktop_chrome,debit_card,0
ACC_LEGIT_STD_01484,5,0,0,246.26,48.68,147,1,1,1,0.0,0.0,0,0.0525,mobile_android,debit_card,0
ACC_LEGIT_STD_02605,14,2,2,972.55,70.17,406,1,1,2,0.1429,0.1429,0,0.1606,mobile_android,apple_pay,0
ACC_LEGIT_STD_02193,4,0,0,314.99,75.7,378,1,1,1,0.0,0.0,0,0.1174,desktop_safari,credit_card,0
ACC_LEGIT_STD_01822,14,0,0,1210.08,83.7,468,2,1,1,0.0,0.0,1,0.0296,desktop_safari,credit_card,0
ACC_LEGIT_STD_02882,2,0,0,240.36,127.17,144,1,1,2,0.0,0.0,0,0.0403,mobile_ios,debit_card,0
ACC_LEGIT_STD_00457,7,1,1,639.45,97.69,523,1,1,1,0.1429,0.1429,0,0.0047,mobile_android,credit_card,0
ACC_LEGIT_STD_00867,22,0,0,1216.46,59.22,629,1,1,1,0.0,0.0,0,0.141,desktop_chrome,debit_card,0
ACC_LEGIT_STD_00164,11,2,2,740.07,69.35,250,1,1,1,0.1818,0.1818,2,0.1093,desktop_chrome,debit_card,0
ACC_LEGIT_STD_02061,8,1,1,454.16,61.58,506,1,2,1,0.125,0.125,0,0.0106,desktop_safari,credit_card,0
ACC_LEGIT_STD_00370,17,1,1,1040.57,59.21,657,1,2,1,0.0588,0.0588,1,0.0256,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02620,5,0,0,248.29,47.39,514,1,1,1,0.0,0.0,0,0.0975,desktop_chrome,apple_pay,0
ACC_LEGIT_ACT_00260,21,6,5,2428.47,110.93,294,2,2,1,0.2857,0.2381,7,0.2023,mobile_ios,credit_card,0
ACC_LEGIT_NEW_00349,1,0,0,76.38,76.38,27,1,1,1,0.0,0.0,0,0.2042,desktop_chrome,credit_card,0
ACC_LEGIT_STD_01242,2,0,0,99.04,52.74,275,1,3,1,0.0,0.0,0,0.061,mobile_ios,paypal,0
ACC_LEGIT_NEW_00385,3,1,1,195.6,65.2,23,1,1,1,0.3333,0.3333,0,0.0778,mobile_android,credit_card,0
ACC_LEGIT_STD_00973,4,0,0,433.94,103.79,233,1,3,1,0.0,0.0,0,0.0017,mobile_ios,credit_card,0
ACC_LEGIT_ACT_00549,12,2,1,1333.91,110.68,837,1,1,2,0.1667,0.0833,2,0.2037,mobile_ios,apple_pay,0
ACC_LEGIT_STD_01510,20,2,2,1531.67,77.36,747,1,2,1,0.1,0.1,1,0.0189,mobile_android,credit_card,0
ACC_LEGIT_STD_02095,4,0,0,182.95,47.9,376,2,1,1,0.0,0.0,0,0.0103,mobile_ios,debit_card,0
ACC_RING_063_0265,17,14,12,3747.82,220.46,13,3,3,3,0.8235,0.7059,8,0.91,desktop_chrome,virtual_card,1
ACC_LEGIT_STD_01890,7,0,0,454.46,63.82,609,3,1,2,0.0,0.0,1,0.0327,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02298,21,0,0,1292.73,63.78,712,1,2,1,0.0,0.0,1,0.0877,mobile_android,apple_pay,0
ACC_LEGIT_STD_00878,11,1,1,991.11,88.49,587,1,2,1,0.0909,0.0909,0,0.0211,mobile_ios,credit_card,0
ACC_SLOW_00067,7,2,1,948.5,135.5,190,1,2,3,0.2857,0.1429,2,0.6246,mobile_android,credit_card,1
ACC_WARD_00074,43,29,28,10690.6,238.32,320,2,2,1,0.6744,0.6512,32,0.6373,mobile_ios,credit_card,1
ACC_RING_023_0292,7,4,3,1247.54,178.22,22,5,3,5,0.5714,0.4286,4,0.8525,mobile_android,virtual_card,1
ACC_LEGIT_STD_00234,6,2,2,363.35,57.44,473,1,2,3,0.3333,0.3333,0,0.0057,mobile_ios,credit_card,0
ACC_LEGIT_STD_01401,7,0,0,533.77,78.25,340,1,1,1,0.0,0.0,0,0.1163,desktop_safari,debit_card,0
ACC_LEGIT_STD_02090,13,1,1,1401.85,101.39,365,3,3,1,0.0769,0.0769,0,0.0204,desktop_safari,credit_card,0
ACC_LEGIT_ACT_00523,43,14,13,4504.64,102.28,336,4,1,1,0.3256,0.3023,8,0.3195,mobile_ios,debit_card,0
ACC_RING_052_0321,12,11,10,1456.32,121.36,16,5,3,5,0.9167,0.8333,6,0.7464,mobile_android,credit_card,1
ACC_LEGIT_ACT_00128,38,16,14,1692.03,43.6,236,4,5,2,0.4211,0.3684,7,0.0878,mobile_ios,credit_card,0
ACC_LEGIT_STD_00765,15,0,0,841.63,58.63,846,1,1,1,0.0,0.0,0,0.0342,mobile_ios,credit_card,0
ACC_LEGIT_STD_00119,8,2,2,422.32,52.51,357,3,1,1,0.25,0.25,1,0.1129,mobile_android,debit_card,0
ACC_LEGIT_STD_00098,9,0,0,536.45,64.26,612,1,1,1,0.0,0.0,0,0.0514,mobile_ios,credit_card,0
ACC_LEGIT_STD_01874,15,1,1,1002.4,69.26,487,2,2,1,0.0667,0.0667,0,0.0519,mobile_android,apple_pay,0
ACC_LEGIT_ACT_00228,15,6,4,1176.81,75.93,492,1,3,2,0.4,0.2667,0,0.1736,mobile_android,debit_card,0
