account_id,cluster_id,cluster_size,shared_device_account_count,shared_ip_account_count,shared_payment_account_count,shared_address_account_count,entity_overlap_score,bipartite_degree_centrality,creation_velocity_window_hours,payment_to_device_ratio,account_to_payment_ratio,behavior_similarity_score,temporal_coordination_score,suspicious_behavior_overlap,return_behavior_similarity,transaction_pattern_similarity,is_ring_member_label
ACC_000018,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000019,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000020,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000021,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000022,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000023,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000024,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000025,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000026,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000027,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000028,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000029,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000030,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000031,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000032,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000033,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000034,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000035,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000036,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000037,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000038,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000039,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000040,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000041,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000042,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000043,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000044,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000045,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000046,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000047,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000048,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000049,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000050,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000051,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000052,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000053,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000054,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000055,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000056,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000057,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000058,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000059,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000060,RING_00005,30,0,29,0,0,0.1,1.0,7980.22,1.0,1.0,0.845,0.0055,0.0468,0.9002,0.7898,0
ACC_000061,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000062,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000063,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000064,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000065,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000066,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000067,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000068,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000069,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000070,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000071,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000072,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000073,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000074,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000075,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000076,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000077,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000078,RING_00006,18,17,17,17,17,1.0,1.0,0.41,1.0,18.0,0.9916,0.9893,0.8296,1.0,0.9831,1
ACC_000079,RING_00007,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.078,1.0,1.0,0
ACC_000080,RING_00008,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0842,1.0,1.0,0
ACC_000081,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000082,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000083,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000084,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000085,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000086,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000087,RING_00009,7,0,0,6,0,0.4,1.0,8241.92,0.1429,7.0,0.8554,0.0043,0.0561,0.9231,0.7877,0
ACC_000088,RING_00010,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0207,1.0,1.0,0
ACC_000089,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000090,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000091,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000092,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000093,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000094,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000095,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000096,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000097,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000098,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000099,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000100,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000101,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000102,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000103,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000104,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000105,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000106,RING_00011,18,17,0,0,0,0.3,1.0,6201.69,18.0,1.0,0.7952,0.0066,0.0414,0.9503,0.64,0
ACC_000107,RING_00012,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0402,1.0,1.0,0
ACC_000108,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000109,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000110,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000111,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000112,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000113,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000114,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000115,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000116,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000117,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000118,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000119,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000120,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000121,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000122,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000123,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000124,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000125,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000126,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000127,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000128,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000129,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000130,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000131,RING_00013,24,0,0,0,23,0.2,1.0,9267.61,1.0,1.0,0.803,0.004,0.0365,0.9297,0.6762,0
ACC_000132,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000133,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000134,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000135,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000136,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000137,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000138,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000139,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000140,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000141,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000142,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000143,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000144,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000145,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000146,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000147,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000148,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000149,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000150,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000151,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000152,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000153,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000154,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000155,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000156,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000157,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000158,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000159,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000160,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000161,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000162,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000163,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000164,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000165,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000166,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000167,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000168,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000169,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000170,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000171,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000172,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000173,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000174,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000175,RING_00014,44,0,43,0,0,0.1,1.0,8205.41,1.0,1.0,0.7768,0.0052,0.0461,0.9076,0.6461,0
ACC_000176,RING_00015,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0839,1.0,1.0,0
ACC_000177,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000178,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000179,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000180,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000181,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000182,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000183,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000184,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000185,RING_00016,9,0,0,0,8,0.2,1.0,370.83,1.0,1.0,0.8421,0.0834,0.7923,0.9313,0.7529,1
ACC_000186,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000187,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000188,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000189,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000190,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000191,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000192,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000193,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000194,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
ACC_000195,RING_00017,21,0,0,20,0,0.4,1.0,6791.54,0.0476,21.0,0.7464,0.0059,0.042,0.8987,0.594,0
